# #stocks, #noise, #price, #walk, #kn, #action
5063,-18,-0.000999999999999993,395,414,buy
5041,-22,0.002000000000000007,377,392,buy
5017,-13,0.006000000000000007,355,368,buy
5001,-11,0.01200000000000001,342,352,buy
4988,-10,0.015000000000000013,331,339,buy
4976,14,0.018000000000000016,321,327,sell
4995,-1,0.007000000000000007,335,346,buy
4994,-18,0.009000000000000008,334,345,buy
4976,17,0.018000000000000016,316,327,sell
4995,10,0.007000000000000007,333,346,sell
5010,-17,0.004000000000000007,343,361,buy
4992,24,0.01200000000000001,326,343,sell
5016,-30,0.002000000000000007,350,367,buy
4986,-22,0.014000000000000012,320,337,buy
4959,39,0.02100000000000002,298,310,sell
5003,24,0.004000000000000007,337,354,sell
5027,-6,0.001000000000000007,361,378,buy
5018,-7,0.004000000000000007,355,369,buy
5007,28,0.007000000000000007,348,358,sell
5042,9,-0.000999999999999993,376,393,sell
5059,34,-0.001999999999999993,385,410,sell
5093,-32,-0.008999999999999994,419,444,buy
5058,-3,0.001000000000000007,387,409,buy
5049,4,0.002000000000000007,384,400,sell
5054,26,6.938893903907228e-18,388,405,sell
5083,-1,-0.004999999999999993,414,434,buy
5082,-8,-0.003999999999999993,413,433,buy
5074,-26,-0.001999999999999993,405,425,buy
5045,-19,0.003000000000000007,379,396,buy
5024,16,0.007000000000000007,360,375,sell
5044,6,0.001000000000000007,376,395,sell
5051,25,6.938893903907228e-18,382,402,sell
5076,44,-0.003999999999999993,407,427,sell
5123,12,-0.013999999999999999,451,474,sell
5149,-40,-0.017,463,500,buy
5101,-25,-0.000999999999999993,423,452,buy
5074,-3,0.002000000000000007,398,425,buy
5065,24,0.003000000000000007,395,416,sell
5090,54,-0.002999999999999993,419,441,sell
5149,14,-0.017,473,500,sell
5165,-24,-0.023000000000000007,487,516,buy
5139,-26,-0.008999999999999994,463,490,buy
5113,-14,-0.002999999999999993,437,464,buy
5097,-11,-0.000999999999999993,423,448,buy
5082,-29,6.938893903907228e-18,412,433,buy
5050,9,0.004000000000000007,383,401,sell
5059,-1,0.001000000000000007,392,410,buy
5058,-23,0.002000000000000007,391,409,buy
5033,3,0.007000000000000007,368,384,sell
5038,-29,0.004000000000000007,371,389,buy
5009,16,0.01200000000000001,342,360,sell
5027,-2,0.004000000000000007,358,378,buy
5022,28,0.007000000000000007,356,373,sell
5050,-21,6.938893903907228e-18,384,401,buy
5026,17,0.006000000000000007,363,377,sell
5050,-36,6.938893903907228e-18,380,401,buy
5011,-1,0.01100000000000001,344,362,buy
5009,4,0.01200000000000001,343,360,sell
5014,-9,0.007000000000000007,347,365,buy
5002,-9,0.014000000000000012,338,353,buy
4992,-36,0.015000000000000013,329,343,buy
4955,22,0.02400000000000002,293,306,sell
4978,-8,0.008000000000000007,315,329,buy
4970,-9,0.015000000000000013,307,321,buy
4961,-16,0.019000000000000017,298,312,buy
4930,41,0.027000000000000024,282,281,sell
4978,14,0.007000000000000007,323,329,sell
4996,-7,0.004000000000000007,337,347,buy
4989,4,0.008000000000000007,330,340,sell
4996,-37,0.004000000000000007,334,347,buy
4958,7,0.020000000000000018,297,309,sell
4966,27,0.01100000000000001,304,317,sell
4996,-18,0.004000000000000007,331,347,buy
4978,43,0.01200000000000001,313,329,sell
5021,-5,0.001000000000000007,356,372,buy
5012,26,0.004000000000000007,351,363,sell
5051,-24,-0.001999999999999993,377,402,buy
5025,-21,0.004000000000000007,353,376,buy
5004,-4,0.009000000000000008,332,355,buy
4999,4,0.010000000000000009,328,350,sell
5004,17,0.005000000000000007,332,355,sell
5025,26,0.001000000000000007,349,376,sell
5051,-9,-0.001999999999999993,375,402,buy
5041,-2,0.001000000000000007,366,392,buy
5035,-8,0.002000000000000007,364,386,buy
