0.180,9.982,8.561
0.247,10.119,8.692
0.311,10.294,8.806
0.366,10.446,8.928
0.407,10.573,9.037
0.429,10.662,9.122
0.427,10.662,9.122
0.405,10.662,9.122
0.369,10.662,9.122
0.324,10.662,9.122
0.275,10.662,9.122
0.228,10.659,9.078
0.188,10.550,9.013
0.161,10.476,8.968
0.152,10.452,8.953
0.167,10.452,8.953
0.209,10.452,8.953
0.273,10.452,8.953
0.354,10.455,9.000
0.444,10.723,9.183
0.538,11.108,9.572
0.628,11.509,10.003
0.710,11.917,10.420
0.775,12.330,10.770
0.818,12.620,11.008
0.833,12.719,11.102
0.815,12.719,11.102
0.767,12.719,11.102
0.696,12.719,11.102
0.606,12.644,11.021
0.504,12.364,10.868
0.394,12.013,10.573
0.284,11.558,10.127
0.178,11.071,9.613
0.081,10.587,9.074
0.000,10.157,8.584
-0.061,9.809,8.188
-0.102,9.575,7.890
-0.124,9.449,7.627
-0.128,9.426,7.569
-0.115,9.426,7.569
-0.087,9.426,7.569
-0.043,9.426,7.569
0.015,9.426,7.569
0.085,9.462,7.679
0.167,9.687,7.874
0.259,9.939,8.106
0.358,10.327,8.493
0.458,10.739,8.951
0.556,11.217,9.454
0.646,11.670,9.952
0.725,12.102,10.377
0.787,12.458,10.713
0.829,12.697,10.975
0.846,12.806,11.085
0.833,12.806,11.085
0.788,12.806,11.085
0.716,12.806,11.085
0.623,12.743,11.011
0.518,12.454,10.852
0.406,12.093,10.550
0.295,11.638,10.104
0.192,11.165,9.608
0.104,10.723,9.121
0.037,10.384,8.729
0.000,10.170,8.498
-0.004,10.148,8.474
0.022,10.148,8.474
0.070,10.148,8.474
0.134,10.148,8.474
0.209,10.183,8.555
0.287,10.396,8.700
0.361,10.600,8.852
0.426,10.818,9.048
0.474,11.017,9.244
0.500,11.123,9.348
0.499,11.123,9.348
0.474,11.123,9.348
0.432,11.123,9.348
0.379,11.123,9.348
0.321,11.123,9.339
0.264,11.025,9.250
0.214,10.888,9.170
0.177,10.787,9.109
0.160,10.738,9.079
0.167,10.738,9.079
0.203,10.738,9.079
0.264,10.738,9.079
0.343,10.738,9.097
0.433,10.939,9.243
0.527,11.235,9.467
0.620,11.636,9.901
0.703,12.054,10.325
0.771,12.394,10.688
0.816,12.637,10.929
0.833,12.732,11.017
0.816,12.732,11.017
0.769,12.732,11.017
0.698,12.732,11.017
0.609,12.665,10.940
0.506,12.385,10.787
0.397,12.035,10.497
